id,Captions,URL,Class,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
342,a view of a city skyline from a window .,http://www.mufoncms.com/files_jeud8334j/89956_submitter_file3__20180131053147.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
343,a night time view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/89956_submitter_file4__20180131054307.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
344,a night time view of a city street .,http://www.mufoncms.com/files_jeud8334j/89956_submitter_file5__20180131054327.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
345,a traffic light suspended over a street at night .,http://www.mufoncms.com/files_jeud8334j/89956_submitter_file6__20180131054343.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
346,a person on a snowboard doing a trick .,http://www.mufoncms.com/files_jeud8334j/89956_submitter_file7__20180131054907.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
347,a man riding a skateboard down a street .,http://www.mufoncms.com/files_jeud8334j/89956_submitter_file8__20180131054909.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
348,a person on a snowboard in the air .,http://www.mufoncms.com/files_jeud8334j/89943_submitter_file1__nsp28277.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
349,an airplane is flying over a snowy mountain .,http://www.mufoncms.com/files_jeud8334j/89923_submitter_file1__sighting1118.jpg,['volcano'],volcano,NA,NA,NA,NA,NA,NA
350,a view of a mountain range from a window .,http://www.mufoncms.com/files_jeud8334j/89917_submitter_file1__20161014174931.jpg,['yurt'],yurt,NA,NA,NA,NA,NA,NA
351,a person riding a skate board at a skate park,http://www.mufoncms.com/files_jeud8334j/89916_submitter_file1__20180130230613.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
352,a man standing in the middle of a street .,http://www.mufoncms.com/files_jeud8334j/89899_submitter_file2__IMG26311.JPG,['crane'],crane,NA,NA,NA,NA,NA,NA
353,a view of a building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/89885_submitter_file2__20180124140726.jpg,"['patio, terrace']",patio, terrace,NA,NA,NA,NA,NA
354,a person holding an umbrella in the rain .,http://www.mufoncms.com/files_jeud8334j/89876_submitter_file1__IMG1466.JPG,['cloak'],cloak,NA,NA,NA,NA,NA,NA
355,a black cat sitting on top of a tree branch .,http://www.mufoncms.com/files_jeud8334j/89876_submitter_file2__IMG1467.JPG,['tarantula'],tarantula,NA,NA,NA,NA,NA,NA
356,a black and white photo of a bird in a window .,http://www.mufoncms.com/files_jeud8334j/89876_submitter_file3__IMG1468.JPG,['fountain'],fountain,NA,NA,NA,NA,NA,NA
357,a large building with a clock tower on top .,http://www.mufoncms.com/files_jeud8334j/89871_submitter_file2__IMG5656.JPG,['triumphal arch'],triumphal arch,NA,NA,NA,NA,NA,NA
358,a view of a bunch of trees in the sky .,http://www.mufoncms.com/files_jeud8334j/89868_submitter_file1__IMG20180121152900743.jpg,['bubble'],bubble,NA,NA,NA,NA,NA,NA
359,a person is flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/89868_submitter_file2__IMG20180121152901530.jpg,['bubble'],bubble,NA,NA,NA,NA,NA,NA
360,a person is flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/89868_submitter_file3__IMG20180121152902290.jpg,['fireboat'],fireboat,NA,NA,NA,NA,NA,NA
361,a red fire hydrant sitting in the middle of a forest .,http://www.mufoncms.com/files_jeud8334j/89868_submitter_file4__IMG20180121152912024.jpg,"['picket fence, paling']",picket fence, paling,NA,NA,NA,NA,NA
362,a kite flying in the sky over a tree .,http://www.mufoncms.com/files_jeud8334j/89861_submitter_file1__6C5316B1DFAD4C57918D3A696155EB26.jpeg,"['laptop, laptop computer']",laptop, laptop computer,NA,NA,NA,NA,NA
363,a close up of a person holding a cell phone,http://www.mufoncms.com/files_jeud8334j/89861_submitter_file2__621C0B03488F43E3A1AAECB1AD8BF2D9.png,"['wallet, billfold, notecase, pocketbook']",wallet, billfold, notecase, pocketbook,NA,NA,NA
364,a close up of a person holding a cell phone,http://www.mufoncms.com/files_jeud8334j/89861_submitter_file3__67212695F9A94A24ACA3F8D5627719F5.png,"['wallet, billfold, notecase, pocketbook']",wallet, billfold, notecase, pocketbook,NA,NA,NA
365,a bird flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89833_submitter_file1__IMG07.jpg,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
366,a bird flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89833_submitter_file2__IMG0743.JPG,['kite'],kite,NA,NA,NA,NA,NA,NA
367,a small airplane flying through a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/89833_submitter_file3__IMG0745.JPG,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
368,a person flying a kite in a park .,http://www.mufoncms.com/files_jeud8334j/89825_submitter_file1__D37CB289BCAF446D9BCBAFF7BE9D32AE.jpeg,"['solar dish, solar collector, solar furnace']",solar dish, solar collector, solar furnace,NA,NA,NA,NA
369,a view of a park with a plane flying over it .,http://www.mufoncms.com/files_jeud8334j/89820_submitter_file1__UFO.JPG,['rapeseed'],rapeseed,NA,NA,NA,NA,NA,NA
370,a view of a park with a plane flying over it .,http://www.mufoncms.com/files_jeud8334j/89820_submitter_file2__UFOCopy.JPG,['rapeseed'],rapeseed,NA,NA,NA,NA,NA,NA
371,a night view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/89819_submitter_file1__1318triangle.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
372,a red fire hydrant sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89811_submitter_file1__217C908EF682482086E2D077BECB194F.jpeg,['forklift'],forklift,NA,NA,NA,NA,NA,NA
373,a red fire hydrant sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89811_submitter_file2__A751DAA58D79400D845DF33440B2DDAF.jpeg,['forklift'],forklift,NA,NA,NA,NA,NA,NA
374,an airplane flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/89798_submitter_file2__DSCN0016.JPG,['suspension bridge'],suspension bridge,NA,NA,NA,NA,NA,NA
375,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89798_submitter_file3__DSCN0015.JPG,['crane'],crane,NA,NA,NA,NA,NA,NA
376,a picture of a person holding a cell phone .,http://www.mufoncms.com/files_jeud8334j/89794_submitter_file1__14D2854CBD224119BC9CAF794C468ED9.jpeg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
377,a close up of a person holding a cell phone,http://www.mufoncms.com/files_jeud8334j/89794_submitter_file2__8A2BEECC88DF4BFBA7CBA089A36BA567.jpeg,"['web site, website, internet site, site']",web site, website, internet site, site,NA,NA,NA
378,a close up of a person holding a cell phone,http://www.mufoncms.com/files_jeud8334j/89794_submitter_file3__4116B02971E44159AAEC7E7829A1F987.jpeg,"['web site, website, internet site, site']",web site, website, internet site, site,NA,NA,NA
379,a close up of a clock on a wall,http://www.mufoncms.com/files_jeud8334j/89794_submitter_file4__E6C3F9F037F645F4B300C2767D4750CC.jpeg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
380,a picture of a person holding a clock .,http://www.mufoncms.com/files_jeud8334j/89794_submitter_file5__CEF0AF26480F415A97EC813A634E5EF6.jpeg,"['web site, website, internet site, site']",web site, website, internet site, site,NA,NA,NA
381,a person holding a cell phone in their hand .,http://www.mufoncms.com/files_jeud8334j/89794_submitter_file6__57B0F09609694CF395EFEBE4F1948189.jpeg,['strainer'],strainer,NA,NA,NA,NA,NA,NA
382,a close up of a person holding a pair of scissors,http://www.mufoncms.com/files_jeud8334j/89794_submitter_file7__31B1179CF49F41D5A33356D76895C64A.jpeg,"['web site, website, internet site, site']",web site, website, internet site, site,NA,NA,NA
383,a view of a mountain range from a plane .,http://www.mufoncms.com/files_jeud8334j/89793_submitter_file1__UFO01.jpg,"['promontory, headland, head, foreland']",promontory, headland, head, foreland,NA,NA,NA
384,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/89783_submitter_file1__DepthOfField4.JPG,"['flagpole, flagstaff']",flagpole, flagstaff,NA,NA,NA,NA,NA
385,an airplane flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/89744_submitter_file1__Screenshot20180121002501.png,['geyser'],geyser,NA,NA,NA,NA,NA,NA
386,an airplane flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/89744_submitter_file2__Screenshot20180121002516.png,['fireboat'],fireboat,NA,NA,NA,NA,NA,NA
387,a plane flying in the sky over a building .,http://www.mufoncms.com/files_jeud8334j/89744_submitter_file3__Screenshot20180121002448.png,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
388,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/89744_submitter_file4__2017120410.39.28.jpg,['car mirror'],car mirror,NA,NA,NA,NA,NA,NA
389,a black and white photo of a clock tower .,http://www.mufoncms.com/files_jeud8334j/89744_submitter_file5__PicsArt120410.23.05.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
390,a kite flying in the sky over a street .,http://www.mufoncms.com/files_jeud8334j/89744_submitter_file6__201712031556230.jpg,['water tower'],water tower,NA,NA,NA,NA,NA,NA
391,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89744_submitter_file7__20171203155623.jpg,['water tower'],water tower,NA,NA,NA,NA,NA,NA
392,a group of people standing on top of a grass field .,http://www.mufoncms.com/files_jeud8334j/89738_submitter_file1__received10213722541692040.jpeg,['missile'],missile,NA,NA,NA,NA,NA,NA
393,a kite flying in the sky over a beach .,http://www.mufoncms.com/files_jeud8334j/89738_submitter_file2__received10213722536171902.jpeg,"['aircraft carrier, carrier, flattop, attack aircraft carrier']",aircraft carrier, carrier, flattop, attack aircraft carrier,NA,NA,NA
394,a large group of people in a large room .,http://www.mufoncms.com/files_jeud8334j/89722_submitter_file1__PSX20180121183356.jpg,['whiskey jug'],whiskey jug,NA,NA,NA,NA,NA,NA
395,a couple of dogs that are in a truck,http://www.mufoncms.com/files_jeud8334j/89722_submitter_file2__PSX20180121183428.jpg,"['bearskin, busby, shako']",bearskin, busby, shako,NA,NA,NA,NA
396,a plane flying over a large body of water .,http://www.mufoncms.com/files_jeud8334j/89714_submitter_file1__DB895C1FD66C4B40B53C470C3BC73CF5.jpeg,['hay'],hay,NA,NA,NA,NA,NA,NA
397,a person is flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/89714_submitter_file2__99A87F558E2647E7B96236064D691932.jpeg,['bubble'],bubble,NA,NA,NA,NA,NA,NA
398,a blurry image of a dog looking out a window .,http://www.mufoncms.com/files_jeud8334j/89714_submitter_file3__F09499F7DB8B4E9EADE1502E261A598B.jpeg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
399,a kite flying in the sky over a field .,http://www.mufoncms.com/files_jeud8334j/89714_submitter_file4__8A29162649DA4F6796A9B8E525F4509D.jpeg,"['beacon, lighthouse, beacon light, pharos']",beacon, lighthouse, beacon light, pharos,NA,NA,NA
400,a car parked on the side of a road next to a tree .,http://www.mufoncms.com/files_jeud8334j/89714_submitter_file5__6888BE9B064C4EF0A63F815E156EE36D.jpeg,['minivan'],minivan,NA,NA,NA,NA,NA,NA
401,a car is parked on the side of the road .,http://www.mufoncms.com/files_jeud8334j/89714_submitter_file6__0D8E103AEF7E45439B70F2463C2466B1.jpeg,['car wheel'],car wheel,NA,NA,NA,NA,NA,NA
402,a car parked in front of a building .,http://www.mufoncms.com/files_jeud8334j/89714_submitter_file7__20371861DC0342AC919639BCCEBC28F0.jpeg,['bubble'],bubble,NA,NA,NA,NA,NA,NA
403,a blue and white surfboard sitting on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/89713_submitter_file1__2DB18200AAAA4AA09DC909E48BBE9D0A.jpeg,['pole'],pole,NA,NA,NA,NA,NA,NA
404,a herd of cattle grazing on a lush green field .,http://www.mufoncms.com/files_jeud8334j/89705_submitter_file1__0000309.JPG,"['valley, vale']",valley, vale,NA,NA,NA,NA,NA
405,an airplane flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/89697_submitter_file1__P1160727Medium.JPG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
406,a view of an airplane flying through the sky .,http://www.mufoncms.com/files_jeud8334j/89697_submitter_file2__P1160731Medium.JPG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
407,an airplane flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/89697_submitter_file3__P1160732Medium.JPG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
408,a night view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/89697_submitter_file4__P1160726Medium.JPG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
409,a large jetliner flying through a cloudy blue sky .,http://www.mufoncms.com/files_jeud8334j/89697_submitter_file5__P1160725Medium.JPG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
410,a view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/89660_submitter_file1__IMGj9y9xa.jpg,['barn'],barn,NA,NA,NA,NA,NA,NA
411,a close up of a red and white fire hydrant .,http://www.mufoncms.com/files_jeud8334j/89660_submitter_file3__2018011819305315163225504301516332247535.jpg,"['caldron, cauldron']",caldron, cauldron,NA,NA,NA,NA,NA
412,a close up of a person holding a frisbee,http://www.mufoncms.com/files_jeud8334j/89657_submitter_file1__thumbnail.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
413,a blue and white kite flying in the sky .,http://www.mufoncms.com/files_jeud8334j/89651_submitter_file1__F1566178A12146F3AAB53A8DCC48114C.jpeg,"['file, file cabinet, filing cabinet']",file, file cabinet, filing cabinet,NA,NA,NA,NA
414,a person holding a pair of scissors in their hands .,http://www.mufoncms.com/files_jeud8334j/89651_submitter_file2__E014F59753D74B0183616517AB5DA30C.jpeg,['syringe'],syringe,NA,NA,NA,NA,NA,NA
415,a bird flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/89640_submitter_file1__IMG1759.JPG,"['valley, vale']",valley, vale,NA,NA,NA,NA,NA
416,a surfer riding a wave in the ocean .,http://www.mufoncms.com/files_jeud8334j/89640_submitter_file2__IMG1761.JPG,"['valley, vale']",valley, vale,NA,NA,NA,NA,NA
417,a person holding a knife in a kitchen,http://www.mufoncms.com/files_jeud8334j/89637_submitter_file1__zoom0.JPG,['dough'],dough,NA,NA,NA,NA,NA,NA
418,a close up of a white and blue sky background .,http://www.mufoncms.com/files_jeud8334j/89637_submitter_file2__zoom1.png,['envelope'],envelope,NA,NA,NA,NA,NA,NA
419,a group of planes flying in the sky .,http://www.mufoncms.com/files_jeud8334j/89637_submitter_file3__zoom2.png,['envelope'],envelope,NA,NA,NA,NA,NA,NA
420,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file1__IMG6331.JPG,"['stupa, tope']",stupa, tope,NA,NA,NA,NA,NA
421,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file2__IMG6332.JPG,"['stupa, tope']",stupa, tope,NA,NA,NA,NA,NA
422,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file3__IMG6333.JPG,"['stupa, tope']",stupa, tope,NA,NA,NA,NA,NA
423,a view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file4__IMG6334.JPG,['palace'],palace,NA,NA,NA,NA,NA,NA
424,a large building with a clock tower on top .,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file5__IMG6335.JPG,"['bell cote, bell cot']",bell cote, bell cot,NA,NA,NA,NA,NA
425,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file6__ScreenshotWikimapia.png,"['oscilloscope, scope, cathode-ray oscilloscope, CRO']",oscilloscope, scope, cathode-ray oscilloscope, CRO,NA,NA,NA
426,a view of a plane flying through the sky .,http://www.mufoncms.com/files_jeud8334j/89611_submitter_file1__20180116143457.jpg,['wing'],wing,NA,NA,NA,NA,NA,NA
427,a kite flying high in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89611_submitter_file2__20180116143503.jpg,['balloon'],balloon,NA,NA,NA,NA,NA,NA
428,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89611_submitter_file3__20180116143507.jpg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
429,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/89611_submitter_file4__20180116143503.jpg,['wing'],wing,NA,NA,NA,NA,NA,NA
430,a couple of animals that are in the grass .,http://www.mufoncms.com/files_jeud8334j/89585_submitter_file1__137133481081462861924367889353549n.jpg,"['megalith, megalithic structure']",megalith, megalithic structure,NA,NA,NA,NA,NA
431,a blue and white kite flying in a blue sky .,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file1__IMG2729.JPG,['knot'],knot,NA,NA,NA,NA,NA,NA
432,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file2__IMG2722.JPG,"['warplane, military plane']",warplane, military plane,NA,NA,NA,NA,NA
433,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file3__IMG2723.JPG,"['warplane, military plane']",warplane, military plane,NA,NA,NA,NA,NA
434,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file4__IMG2724.JPG,"['flagpole, flagstaff']",flagpole, flagstaff,NA,NA,NA,NA,NA
435,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file5__IMG2725.JPG,"['flagpole, flagstaff']",flagpole, flagstaff,NA,NA,NA,NA,NA
436,a blue and white plane flying in the sky,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file6__IMG2726.JPG,['kite'],kite,NA,NA,NA,NA,NA,NA
437,a large building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/89559_submitter_file1__Photo22122017.jpg,"['flagpole, flagstaff']",flagpole, flagstaff,NA,NA,NA,NA,NA
438,a man flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/89540_submitter_file1__IMG20180112210716090.jpg,"['motor scooter, scooter']",motor scooter, scooter,NA,NA,NA,NA,NA
439,a white dog holding a yellow frisbee in its mouth .,http://www.mufoncms.com/files_jeud8334j/89540_submitter_file2__20180112211253.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
440,a person on a snowboard in the snow .,http://www.mufoncms.com/files_jeud8334j/89540_submitter_file3__20180112211412.jpg,"['puck, hockey puck']",puck, hockey puck,NA,NA,NA,NA,NA
441,a person riding a skate board on a rail,http://www.mufoncms.com/files_jeud8334j/89522_submitter_file1__IMG0247.JPG,['alp'],alp,NA,NA,NA,NA,NA,NA
442,a person riding a skate board on a rail,http://www.mufoncms.com/files_jeud8334j/89522_submitter_file2__IMG0248.JPG,['alp'],alp,NA,NA,NA,NA,NA,NA
443,a view of a road from the side of the road .,http://www.mufoncms.com/files_jeud8334j/89517_submitter_file1__IMG58486alamohiko.jpg,"['Arabian camel, dromedary, Camelus dromedarius']",Arabian camel, dromedary, Camelus dromedarius,NA,NA,NA,NA
444,a car driving down a road next to a mountain .,http://www.mufoncms.com/files_jeud8334j/89517_submitter_file2__IMG5803.jpg,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
445,a train on a track near a body of water,http://www.mufoncms.com/files_jeud8334j/89517_submitter_file4__IMG5828.jpg,"['harvester, reaper']",harvester, reaper,NA,NA,NA,NA,NA
446,an airplane flying over a city in the evening .,http://www.mufoncms.com/files_jeud8334j/89515_submitter_file1__FBIMG1515644000587.jpg,['crane'],crane,NA,NA,NA,NA,NA,NA
447,a red stop sign sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89515_submitter_file2__FBIMG1515644040145.jpg,"['flagpole, flagstaff']",flagpole, flagstaff,NA,NA,NA,NA,NA
448,a white toilet sitting next to a white wall .,http://www.mufoncms.com/files_jeud8334j/89515_submitter_file3__FBIMG1515644050005.jpg,"[""loupe, jeweler's loupe""]",loupe, jeweler's loupe,NA,NA,NA,NA,NA
449,a plane is flying over a snowy mountain .,http://www.mufoncms.com/files_jeud8334j/89503_submitter_file1__20171218142534.jpg,['suspension bridge'],suspension bridge,NA,NA,NA,NA,NA,NA
450,a blue and white kite flying in a blue sky .,http://www.mufoncms.com/files_jeud8334j/89503_submitter_file2__20171219091159.png,['bubble'],bubble,NA,NA,NA,NA,NA,NA
451,a fire hydrant in front of a building .,http://www.mufoncms.com/files_jeud8334j/89495_submitter_file1__20180110080036.jpg,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
452,a fire hydrant in front of a building .,http://www.mufoncms.com/files_jeud8334j/89495_submitter_file2__20180110080045.jpg,"['garbage truck, dustcart']",garbage truck, dustcart,NA,NA,NA,NA,NA
453,a fire hydrant in front of a building .,http://www.mufoncms.com/files_jeud8334j/89495_submitter_file3__20180110080046.jpg,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
454,a flock of birds flying over a traffic light .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file1__IMG2413.JPG,['bubble'],bubble,NA,NA,NA,NA,NA,NA
455,a plane flying in the sky over a building .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file2__IMG2424.JPG,['missile'],missile,NA,NA,NA,NA,NA,NA
456,a view of a city street from a plane .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file3__IMG2429.JPG,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
457,an airplane flying through the sky over a forest .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file4__IMG2436.JPG,['jellyfish'],jellyfish,NA,NA,NA,NA,NA,NA
458,a view of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file5__IMG2439.JPG,['jellyfish'],jellyfish,NA,NA,NA,NA,NA,NA
459,a view of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file6__IMG2425.JPG,['volcano'],volcano,NA,NA,NA,NA,NA,NA
460,a plane flying in the sky over a building .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file7__IMG2426.JPG,['volcano'],volcano,NA,NA,NA,NA,NA,NA
461,a view of a window from a plane .,http://www.mufoncms.com/files_jeud8334j/89445_submitter_file1__DenverObjectView1OriginalSize.jpg,['sliding door'],sliding door,NA,NA,NA,NA,NA,NA
462,a view of a city from the outside of a window .,http://www.mufoncms.com/files_jeud8334j/89445_submitter_file2__DenverObjectView2OriginalSize.jpg,"['patio, terrace']",patio, terrace,NA,NA,NA,NA,NA
463,a person flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/89442_submitter_file1__CIGARDAYNIGHT.jpg,['balloon'],balloon,NA,NA,NA,NA,NA,NA
464,a black and white photo of a white and blue sign .,http://www.mufoncms.com/files_jeud8334j/89411_submitter_file2__UFODrawingShapeandColor.PNG,['envelope'],envelope,NA,NA,NA,NA,NA,NA
465,a large jetliner sitting on top of an airport tarmac .,http://www.mufoncms.com/files_jeud8334j/89389_submitter_file1__IMG1002.JPG,['airliner'],airliner,NA,NA,NA,NA,NA,NA
466,a view of a city skyline from the airport .,http://www.mufoncms.com/files_jeud8334j/89382_submitter_file1__IMG0442.JPG,['obelisk'],obelisk,NA,NA,NA,NA,NA,NA
467,a group of people standing on top of a runway .,http://www.mufoncms.com/files_jeud8334j/89382_submitter_file3__IMG4573.JPG,"['projectile, missile']",projectile, missile,NA,NA,NA,NA,NA
468,a kite flying in the sky over a field .,http://www.mufoncms.com/files_jeud8334j/89377_submitter_file1__Sat06January2018111213AM.JPG,['barn'],barn,NA,NA,NA,NA,NA,NA
469,a train traveling through a lush green countryside .,http://www.mufoncms.com/files_jeud8334j/89377_submitter_file2__Sat06January2018111029AM.JPG,['monastery'],monastery,NA,NA,NA,NA,NA,NA
470,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/89368_submitter_file1__IMG20161010184627.jpg,['wing'],wing,NA,NA,NA,NA,NA,NA
471,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89368_submitter_file2__IMG20161010184635.jpg,"['airship, dirigible']",airship, dirigible,NA,NA,NA,NA,NA
472,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/89368_submitter_file3__IMG20161010184642.jpg,['wing'],wing,NA,NA,NA,NA,NA,NA
473,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/89368_submitter_file4__IMG20161010184645.jpg,"['airship, dirigible']",airship, dirigible,NA,NA,NA,NA,NA
474,a black and white photo of a black bear .,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file1__IMG3624.JPG,"['platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus']",platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus,NA,NA
475,a black and white photo of a man flying a kite .,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file2__IMG3060.PNG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
476,a group of people riding on a cross walk .,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file3__IMG2905.JPG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
477,a close up of a black and white keyboard,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file4__IMG2950.JPG,"['computer keyboard, keypad']",computer keyboard, keypad,NA,NA,NA,NA,NA
478,a large body of water with a boat in it .,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file5__IMG2811.JPG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
479,a large building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/89317_submitter_file3__6D9F1CFB97A5437E845E57D634CBE461.png,['stage'],stage,NA,NA,NA,NA,NA,NA
480,a close up of a person holding a bird,http://www.mufoncms.com/files_jeud8334j/89317_submitter_file4__C4843B2D302944EE88CD35035AC08277.png,"['water ouzel, dipper']",water ouzel, dipper,NA,NA,NA,NA,NA
481,a large building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/89317_submitter_file5__43F7F6F0EB984C6EB40F18ED20E1EBF8.png,['stage'],stage,NA,NA,NA,NA,NA,NA
482,a train traveling through a lush green countryside .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file1__IMG0087.JPG,['rapeseed'],rapeseed,NA,NA,NA,NA,NA,NA
483,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file2__IMG0086.JPG,"['mountain bike, all-terrain bike, off-roader']",mountain bike, all-terrain bike, off-roader,NA,NA,NA,NA
484,a train traveling through a rural country side .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file3__IMG0059.JPG,['rapeseed'],rapeseed,NA,NA,NA,NA,NA,NA
485,a person flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file4__IMG1046.JPG,['bubble'],bubble,NA,NA,NA,NA,NA,NA
486,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file5__IMG1049.JPG,"['hook, claw']",hook, claw,NA,NA,NA,NA,NA
